# hostname;interval;timestamp;io_tps
pablolaptop.pegaso.lan;601;2024-06-08 14:00:04;15.7
pablolaptop.pegaso.lan;601;2024-06-08 14:10:04;11.52
pablolaptop.pegaso.lan;601;2024-06-08 14:20:05;7.42
pablolaptop.pegaso.lan;601;2024-06-08 14:30:06;8.38
pablolaptop.pegaso.lan;598;2024-06-08 14:40:03;10.63
pablolaptop.pegaso.lan;604;2024-06-08 14:50:07;22.53
pablolaptop.pegaso.lan;601;2024-06-08 15:00:07;18.53
pablolaptop.pegaso.lan;601;2024-06-08 15:10:08;10.01
pablolaptop.pegaso.lan;601;2024-06-08 15:20:09;14.7
pablolaptop.pegaso.lan;601;2024-06-08 15:30:09;19.12
pablolaptop.pegaso.lan;591;2024-06-08 15:40:00;14.23
pablolaptop.pegaso.lan;601;2024-06-08 15:50:00;17.77
pablolaptop.pegaso.lan;608;2024-06-08 16:10:09;34.6
pablolaptop.pegaso.lan;601;2024-06-08 16:20:09;12.46
pablolaptop.pegaso.lan;591;2024-06-08 16:30:00;13.99
pablolaptop.pegaso.lan;601;2024-06-08 16:40:01;14.52
pablolaptop.pegaso.lan;601;2024-06-08 16:50:01;14.28
pablolaptop.pegaso.lan;601;2024-06-08 17:00:02;10.46
pablolaptop.pegaso.lan;601;2024-06-08 17:10:02;9.07
pablolaptop.pegaso.lan;601;2024-06-08 17:20:03;6.58
pablolaptop.pegaso.lan;601;2024-06-08 17:30:04;7.13
pablolaptop.pegaso.lan;601;2024-06-08 17:40:04;8.2
pablolaptop.pegaso.lan;601;2024-06-08 17:50:05;11.55
pablolaptop.pegaso.lan;601;2024-06-08 18:00:06;9.3
pablolaptop.pegaso.lan;601;2024-06-08 18:10:06;6.82
pablolaptop.pegaso.lan;601;2024-06-08 18:20:07;10.3
pablolaptop.pegaso.lan;601;2024-06-08 18:30:07;8.35
pablolaptop.pegaso.lan;601;2024-06-08 18:40:08;7.73
pablolaptop.pegaso.lan;601;2024-06-08 18:50:09;7.84
pablolaptop.pegaso.lan;601;2024-06-08 19:00:09;7.8
pablolaptop.pegaso.lan;591;2024-06-08 19:10:00;9.84
pablolaptop.pegaso.lan;601;2024-06-08 19:20:01;9.99
pablolaptop.pegaso.lan;601;2024-06-08 19:30:01;7.57
pablolaptop.pegaso.lan;601;2024-06-08 19:40:02;7.0
pablolaptop.pegaso.lan;601;2024-06-08 19:50:02;7.04
pablolaptop.pegaso.lan;601;2024-06-08 20:00:03;7.72
pablolaptop.pegaso.lan;601;2024-06-08 20:10:04;38.7
pablolaptop.pegaso.lan;601;2024-06-08 20:20:04;6.25
pablolaptop.pegaso.lan;601;2024-06-08 20:30:05;11.77
pablolaptop.pegaso.lan;601;2024-06-08 20:40:06;3.01
pablolaptop.pegaso.lan;601;2024-06-08 20:50:06;6.08
